SEASON_YEAR,PLAYER_ID,PLAYER_NAME,GAME_ID,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,AST,TOV,PF,PTS,PLUS_MINUS,NBA_FANTASY_PTS,MIN_RANK,GAME_DATE,HOME,PLAYER_USG_PCT,TEAM_DEF_RATING,TEAM_PACE,TEAM_ID,MATCHUP_ID
2023-24,1630639,A.J. Lawson,22300919,W,3.2333333333333334,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,2,-2,2.0,19313,2024-03-09,0,1.0,122.3,113.04,1610612742,1610612765
2023-24,1630639,A.J. Lawson,22300892,L,2.0166666666666666,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,2,1,2.0,19802,2024-03-05,1,1.0,117.4,102.9,1610612742,1610612754
2023-24,1630639,A.J. Lawson,22300844,W,0.6583333333333333,1,1,1.0,0,0,0.0,0,0,0.0,1,0,0,0,0,2,-1,3.2,20276,2024-02-28,0,1.0,123.4,110.72,1610612742,1610612761
2023-24,1630639,A.J. Lawson,22300785,W,5.433333333333334,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0,0,0,0,-2,2.4,18491,2024-02-14,1,0.0,111.1,105.0,1610612742,1610612759
2023-24,1630639,A.J. Lawson,22300768,W,0.065,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,20400,2024-02-12,1,0.0,100.5,114.02,1610612742,1610612764
2023-24,1630639,A.J. Lawson,22300748,W,5.733333333333333,2,4,0.5,1,2,0.5,0,0,0.0,1,1,0,0,2,5,0,7.4,18366,2024-02-10,1,0.625,137.1,105.88,1610612742,1610612760
2023-24,1630639,A.J. Lawson,22300736,W,1.2833333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,-2,0.0,20052,2024-02-08,0,0.0,128.3,96.98,1610612742,1610612752
2023-24,1630639,A.J. Lawson,22300715,W,4.683333333333334,3,3,1.0,0,0,0.0,0,2,0.0,0,0,0,0,0,6,0,6.0,18772,2024-02-05,0,0.773,119.0,98.46,1610612742,1610612755
2023-24,1630639,A.J. Lawson,22300680,L,15.45,1,5,0.2,0,2,0.0,1,2,0.5,1,1,1,0,2,3,-5,9.9,14731,2024-01-31,0,0.255,91.2,94.82,1610612742,1610612750
2023-24,1630639,A.J. Lawson,22300651,L,3.7516666666666665,1,2,0.5,0,1,0.0,0,0,0.0,0,0,1,1,1,2,-9,2.5,19134,2024-01-27,1,0.5,111.7,102.06,1610612742,1610612758
2023-24,1630639,A.J. Lawson,22300625,L,4.8,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,0,0,3,0,5.7,18715,2024-01-24,1,0.5,108.0,100.3,1610612742,1610612756
2023-24,1630639,A.J. Lawson,22300577,L,4.733333333333333,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,2,6,2.0,18750,2024-01-17,0,1.0,106.9,103.24,1610612742,1610612747
2023-24,1630639,A.J. Lawson,22300556,W,13.616666666666667,1,3,0.333,1,2,0.5,0,0,0.0,1,0,0,0,1,3,-1,7.2,15664,2024-01-15,1,0.5,125.8,100.22,1610612742,1610612740
2023-24,1630639,A.J. Lawson,22300547,L,6.083333333333333,1,3,0.333,0,1,0.0,1,1,1.0,0,1,1,1,0,3,4,4.7,18234,2024-01-13,1,0.436,115.1,93.04,1610612742,1610612740
2023-24,1630639,A.J. Lawson,22300515,L,4.7,1,3,0.333,1,2,0.5,0,0,0.0,1,1,0,0,1,3,-3,5.4,18764,2024-01-09,1,0.5,104.2,99.06,1610612742,1610612763
2023-24,1630639,A.J. Lawson,22300487,W,24.866666666666667,4,8,0.5,1,4,0.25,5,6,0.833,1,4,2,2,5,14,21,27.0,9358,2024-01-05,1,0.658,126.8,110.54,1610612742,1610612757
2023-24,1630639,A.J. Lawson,22300472,W,8.433333333333334,1,4,0.25,1,1,1.0,0,0,0.0,0,0,0,0,1,3,-3,6.0,17512,2024-01-03,1,0.375,117.7,107.86,1610612742,1610612757
2023-24,1630639,A.J. Lawson,22300405,W,4.991666666666666,0,2,0.0,0,2,0.0,0,0,0.0,0,1,0,0,0,0,-1,1.2,18633,2023-12-25,0,0.0,127.7,101.6,1610612742,1610612756
2023-24,1630639,A.J. Lawson,22300398,W,30.58333333333333,7,10,0.7,3,4,0.75,0,0,0.0,3,4,3,1,2,17,16,34.9,5732,2023-12-23,1,0.85,129.4,110.9,1610612742,1610612759
2023-24,1630639,A.J. Lawson,22300385,L,23.33333333333333,3,4,0.75,0,1,0.0,2,2,1.0,0,2,1,3,0,8,2,20.9,10292,2023-12-22,0,0.82,86.9,110.28,1610612742,1610612745
2023-24,1630639,A.J. Lawson,22300372,L,0.53,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,20316,2023-12-20,1,0.0,113.4,96.44,1610612742,1610612746
2023-24,1630639,A.J. Lawson,22300356,L,14.833333333333334,2,4,0.5,1,2,0.5,1,2,0.5,1,1,0,1,2,6,-9,7.4,15050,2023-12-18,0,0.615,107.9,96.52,1610612742,1610612743
2023-24,1630639,A.J. Lawson,22300341,W,0.6333333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,20294,2023-12-16,0,0.0,121.0,106.46,1610612742,1610612757
2023-24,1630639,A.J. Lawson,22300321,L,1.7666666666666666,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,2,1,2.0,19889,2023-12-14,1,1.0,98.1,103.46,1610612742,1610612750
