SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GAME_ID,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,AST,TOV,PF,PTS,PLUS_MINUS,NBA_FANTASY_PTS,MIN_RANK,GAME_DATE,HOME
2022-23,1630233,Nathan Knight,MIN,0022201225,NOP,W,1.9916666666666667,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,1,3,2,-1,1.0,7086,2023-04-09T00:00:00,1
2022-23,1629052,Oshae Brissett,IND,0022201220,NYK,W,27.816666666666666,4,15,0.267,0,3,0.0,4,7,0.571,2,7,3,2,4,12,14,31.3,2750,2023-04-09T00:00:00,0
2022-23,1629663,Louis King,PHI,0022201217,BKN,W,28.8,8,13,0.615,4,8,0.5,0,1,0.0,2,2,2,2,4,20,2,28.8,2526,2023-04-09T00:00:00,0
2022-23,1629134,Kendrick Nunn,WAS,0022201222,HOU,L,21.8,4,9,0.444,2,4,0.5,2,2,1.0,1,4,3,4,2,12,-8,27.5,4149,2023-04-09T00:00:00,1
2022-23,1628966,Keita Bates-Diop,SAS,0022201224,DAL,W,24.166666666666668,7,14,0.5,1,2,0.5,2,4,0.5,0,6,2,1,0,17,16,29.2,3613,2023-04-09T00:00:00,0
2022-23,1629622,Max Strus,MIA,0022201219,ORL,W,10.633333333333333,0,2,0.0,0,1,0.0,0,0,0.0,0,1,2,0,1,0,2,7.2,6114,2023-04-09T00:00:00,1
2022-23,1631120,JD Davison,BOS,0022201216,ATL,W,34.88333333333333,3,6,0.5,1,3,0.333,1,2,0.5,1,2,3,2,1,8,-7,20.1,1041,2023-04-09T00:00:00,1
2022-23,201976,Patrick Beverley,CHI,0022201223,DET,W,23.916666666666668,1,3,0.333,0,2,0.0,0,0,0.0,0,2,4,0,4,2,2,22.4,3677,2023-04-09T00:00:00,1
2022-23,1629677,Luka Samanic,UTA,0022201228,LAL,L,29.733333333333334,4,14,0.286,0,8,0.0,1,1,1.0,0,2,3,2,2,9,-21,16.9,2296,2023-04-09T00:00:00,0
2022-23,1631466,Nate Williams,POR,0022201230,GSW,L,31.016666666666666,7,12,0.583,1,2,0.5,2,2,1.0,3,1,3,1,1,17,-25,25.3,2000,2023-04-09T00:00:00,1
2022-23,1629656,Quentin Grimes,NYK,0022201220,IND,L,31.9,8,13,0.615,5,10,0.5,1,1,1.0,0,1,3,0,4,22,14,27.7,1777,2023-04-09T00:00:00,1
2022-23,1629130,Duncan Robinson,MIA,0022201219,ORL,W,35.21666666666667,6,14,0.429,3,11,0.273,5,6,0.833,0,2,4,1,4,20,9,30.4,969,2023-04-09T00:00:00,1
2022-23,1630625,Dalano Banton,TOR,0022201221,MIL,W,19.4,5,12,0.417,0,3,0.0,1,2,0.5,2,3,7,2,3,11,7,28.5,4695,2023-04-09T00:00:00,1
2022-23,1631216,Caleb Houstan,ORL,0022201219,MIA,L,33.916666666666664,6,15,0.4,5,11,0.455,4,5,0.8,0,0,1,0,2,21,-9,28.5,1257,2023-04-09T00:00:00,0
2022-23,1630241,Sam Merrill,CLE,0022201218,CHA,L,25.983333333333334,6,12,0.5,3,9,0.333,2,2,1.0,0,4,1,0,1,17,-11,32.3,3173,2023-04-09T00:00:00,1
2022-23,203095,Evan Fournier,NYK,0022201220,IND,L,11.716666666666667,0,4,0.0,0,3,0.0,0,0,0.0,0,1,0,1,1,0,-16,0.2,6006,2023-04-09T00:00:00,1
2022-23,1627826,Ivica Zubac,LAC,0022201229,PHX,W,25.03,5,7,0.714,0,0,0.0,0,0,0.0,2,6,0,1,3,10,-6,24.6,3408,2023-04-09T00:00:00,0
2022-23,1631095,Jabari Smith Jr.,HOU,0022201222,WAS,W,31.013333333333332,6,11,0.545,1,3,0.333,7,8,0.875,1,4,0,1,3,20,1,28.0,2004,2023-04-09T00:00:00,0
